,,,,,
J1,C1,C2,C3,C4,C5
C1,1,6,1,0.142857,0.25
C2,0.166667,1,0.2,0.142857,3
C3,1,5,1,0.333333,0.5
C4,7,7,3,1,1
C5,4,0.333333,2,1,1
,,,,,
J2,C1,C2,C3,C4,C5
C1,1,0.333333,0.333333,0.333333,3
C2,3,1,1,1,1
C3,3,1,1,0.333333,3
C4,3,1,3,1,3
C5,0.333333,1,0.333333,0.333333,1
,,,,,
J3,C1,C2,C3,C4,C5
C1,1,0.333333,0.333333,0.142857,0.2
C2,3,1,0.142857,0.333333,0.125
C3,3,7,1,0.333333,0.125
C4,7,3,3,1,0.625
C5,5,8,8,1.6,1
,,,,,
J4,C1,C2,C3,C4,C5
C1,1,0.25,0.5,0.166667,4
C2,4,1,0.2,0.2,0.166667
C3,2,5,1,0.5,0.25
C4,6,5,2,1,6
C5,0.25,6,4,0.166667,1
,,,,,
J5,C1,C2,C3,C4,C5
C1,1,8,7,0.333333,0.111111
C2,0.125,1,0.125,0.111111,0.111111
C3,0.142857,8,1,0.111111,0.125
C4,3,9,9,1,3
C5,9,9,8,0.333333,1
,,,,,
J6,C1,C2,C3,C4,C5
C1,1,1,0.333333,0.333333,0.25
C2,1,1,0.333333,0.25,1
C3,3,3,1,0.25,0.142857
C4,3,4,4,1,0.2
C5,4,1,7,5,1
,,,,,
J7,C1,C2,C3,C4,C5
C1,1,0.25,0.333333,4,1
C2,4,1,3,1,1
C3,3,0.333333,1,0.2,0.333333
C4,0.25,1,5,1,0.5
C5,1,1,3,2,1
,,,,,
J8,C1,C2,C3,C4,C5
C1,1,2,3,0.333333,0.5
C2,0.5,1,0.25,0.25,0.166667
C3,0.333333,4,1,0.166667,0.25
C4,3,4,6,1,4
C5,2,6,4,0.25,1
,,,,,
J9,C1,C2,C3,C4,C5
C1,1,3,0.142857,0.111111,0.2
C2,0.333333,1,0.111111,0.166667,0.111111
C3,7,9,1,0.125,0.25
C4,9,6,8,1,0.2
C5,5,9,4,5,1
,,,,,
,,,,,
J10,C1,C2,C3,C4,C5
C1,1,0.2,0.333333,0.333333,5
C2,5,1,0.333333,0.2,0.2
C3,3,3,1,0.333333,0.333333
C4,3,5,3,1,1
C5,0.2,5,3,1,1
