Model,question_number,S1.1,S1.2,S2.1,S2.2,S3.1,S3.2,S4.1,S4.2,S5.1,S5.2
c,5,4,4,4,3,3,3,4,4,4,4
c,5,2,2,3,3,2,2,3,3,3,3
c,5,2,2,2,1,2,1,3,1,2,1
c,35,4,4,3,3,4,3,3,3,1,1
c,35,1,1,1,1,3,2,2,1,1,1
c,35,5,5,3,3,2,2,2,2,2,2
c,43,2,1,1,1,2,3,2,2,1,1
c,43,2,2,1,2,3,3,2,2,1,1
c,43,1,1,1,1,1,1,1,1,1,1
c,45,1,1,1,1,1,1,1,1,1,1
c,45,1,1,1,1,1,1,1,1,1,1
c,45,3,3,2,2,2,2,2,2,1,1
c,56,2,2,2,2,2,1,1,2,1,2
c,56,2,2,2,1,3,3,2,1,1,1
c,56,2,1,1,1,2,3,2,2,2,2
c,70,3,3,2,3,2,1,2,2,2,2
c,70,4,4,4,4,2,3,3,3,4,4
c,70,3,3,3,3,3,3,3,3,3,3
c,75,1,2,1,1,1,1,1,1,1,1
c,75,3,2,2,2,2,2,1,1,2,2
c,75,1,1,1,1,1,1,1,1,1,1
c,79,2,3,2,2,2,2,2,2,2,2
c,79,2,2,1,1,1,1,1,1,1,1
c,79,3,2,1,1,1,1,1,1,2,1
c,84,2,2,3,3,2,2,2,2,2,2
c,84,3,3,3,3,3,3,3,3,3,3
c,84,2,1,1,2,1,2,1,1,1,1
c,89,1,1,3,1,1,1,3,2,1,1
c,89,5,5,2,2,2,2,2,2,2,2
c,89,2,1,2,4,2,2,2,2,2,1
c,99,2,2,2,1,2,1,2,2,1,1
c,99,2,1,1,1,1,1,2,1,1,1
c,99,5,5,4,4,2,2,3,3,2,2
c,105,1,1,1,1,1,1,1,1,1,1
c,105,3,3,2,2,1,1,2,1,5,5
c,105,1,2,2,1,2,1,1,1,1,1
m,5,1,1,1,1,1,1,1,1,1,1
m,5,2,2,4,3,4,4,1,2,1,1
m,5,5,5,2,2,2,2,4,4,2,2
m,35,2,1,1,1,1,1,1,1,1,1
m,35,4,4,2,2,2,2,2,2,2,2
m,35,5,4,2,2,5,4,1,2,2,2
m,43,4,4,4,2,3,2,2,2,1,1
m,43,1,1,1,1,1,1,1,1,1,1
m,43,5,3,2,2,2,2,2,2,2,2
m,45,5,5,2,4,4,4,4,4,2,4
m,45,1,1,1,1,3,2,2,2,1,1
m,45,1,1,1,1,1,2,2,1,1,1
m,56,4,4,4,2,2,4,3,4,4,4
m,56,5,5,3,2,4,4,4,5,3,2
m,56,2,2,3,3,3,3,2,1,1,2
m,70,5,5,4,4,4,4,4,4,4,4
m,70,4,4,3,3,5,5,4,3,2,2
m,70,5,5,5,5,5,5,5,5,5,5
m,75,1,2,1,1,1,1,2,5,4,4
m,75,4,5,5,5,5,5,4,4,5,5
m,75,2,2,4,3,3,3,2,2,2,2
m,79,4,4,3,2,3,4,1,1,1,1
m,79,2,3,2,2,2,2,2,2,3,3
m,79,5,5,2,2,2,2,2,2,1,1
m,84,2,2,2,2,2,2,2,2,2,2
m,84,5,5,2,2,4,2,2,1,2,2
m,84,2,2,1,1,2,2,2,2,1,1
m,89,4,4,2,2,2,2,3,3,2,2
m,89,5,4,4,3,2,2,4,4,3,4
m,89,5,5,4,4,3,4,4,4,4,4
m,99,5,5,4,4,4,5,5,5,5,5
m,99,4,4,2,2,2,2,2,2,2,2
m,99,5,5,4,5,5,5,5,5,4,4
m,105,2,1,2,3,3,3,2,1,1,1
m,105,1,1,1,1,1,1,3,2,1,1
m,105,3,3,1,1,1,1,1,1,1,1
n,5,4,3,4,3,3,4,2,2,2,2
n,5,4,5,4,4,4,5,4,4,4,5
n,5,4,5,4,4,2,5,2,2,2,4
n,35,4,5,4,3,4,5,3,1,1,3
n,35,4,3,4,4,3,4,3,3,2,2
n,35,4,5,2,4,4,4,4,5,3,4
n,43,5,2,1,1,2,2,1,1,1,1
n,43,5,5,5,5,4,5,4,5,5,4
n,43,5,5,4,4,4,4,5,3,4,3
n,45,2,1,1,1,2,2,1,1,1,1
n,45,4,4,1,1,1,1,1,1,1,1
n,45,4,4,2,1,2,4,3,2,1,1
n,56,4,4,4,4,4,3,3,3,4,4
n,56,5,5,5,5,5,5,5,5,5,5
