J1/C1,S1.1,S1.2
S1.1,1,3
S1.2,0.333,1
,,
J1/C2,S2.1,S2.2
S2.1,1,0.2
S2.2,5,1
,,
J1/C3,S3.1,S3.2
S3.1,1,3
S3.2,0.333,1
,,
J1/C4,S4.1,S4.2
S4.1,1,0.5
S4.2,2,1
,,
J1/C5,S5.1,S5.2
S5.1,1,1
S5.2,1,1
,,
J2/C1,S1.1,S1.2
S1.1,1,5
S1.2,0.2,1
,,
J2/C2,S2.1,S2.2
S2.1,1,3
S2.2,0.333,1
,,
J2/C3,S3.1,S3.2
S3.1,1,5
S3.2,0.2,1
,,
J2/C4,S4.1,S4.2
S4.1,1,3
S4.2,0.333,1
,,
J2/C5,S5.1,S5.2
S5.1,1,5
S5.2,0.2,1
,,
J3/C1,S1.1,S1.2
S1.1,1,3
S1.2,0.333,1
,,
J3/C2,S2.1,S2.2
S2.1,1,0.25
S2.2,4,1
,,
J3/C3,S3.1,S3.2
S3.1,1,0.333
S3.2,3,1
,,
J3/C4,S4.1,S4.2
S4.1,1,0.5
S4.2,2,1
,,
J3/C5,S5.1,S5.2
S5.1,1,3
S5.2,0.333,1
,,
J4/C1,S1.1,S1.2
S1.1,1,0.333
S1.2,3,1
,,
J4/C2,S2.1,S2.2
S2.1,1,4
S2.2,0.25,1
,,
J4/C3,S3.1,S3.2
S3.1,1,0.333
S3.2,3,1
,,
J4/C4,S4.1,S4.2
S4.1,1,0.333
S4.2,3,1
,,
J4/C5,S5.1,S5.2
S5.1,1,5
S5.2,0.2,1
,,
J5/C1,S1.1,S1.2
S1.1,1,9
S1.2,0.111,1
,,
J5/C2,S2.1,S2.2
S2.1,1,3
S2.2,0.333,1
,,
J5/C3,S3.1,S3.2
S3.1,1,5
S3.2,0.2,1
,,
J5/C4,S4.1,S4.2
S4.1,1,9
S4.2,0.111,1
,,
J5/C5,S5.1,S5.2
S5.1,1,5
S5.2,0.2,1
,,
J6/C1,S1.1,S1.2
S1.1,1,7
S1.2,0.142857,1
,,
J6/C2,S2.1,S2.2
S2.1,1,4
S2.2,0.25,1
,,
J6/C3,S3.1,S3.2
S3.1,1,7
S3.2,0.142857,1
,,
J6/C4,S4.1,S4.2
S4.1,1,1
S4.2,1,1
,,
J6/C5,S5.1,S5.2
S5.1,1,7
S5.2,0.142857,1
,,
J7/C1,S1.1,S1.2
S1.1,1,1
S1.2,1,1
,,
J7/C2,S2.1,S2.2
S2.1,1,0.333
S2.2,3,1
,,
J7/C3,S3.1,S3.2
S3.1,1,5
S3.2,0.2,1
,,
J7/C4,S4.1,S4.2
S4.1,1,1
S4.2,1,1
,,
J7/C5,S5.1,S5.2
S5.1,1,0.2
S5.2,5,1
,,
J8/C1,S1.1,S1.2
S1.1,1,2
S1.2,0.5,1
,,
J8/C2,S2.1,S2.2
S2.1,1,1
S2.2,1,1
,,
J8/C3,S3.1,S3.2
S3.1,1,1
S3.2,1,1
,,
J8/C4,S4.1,S4.2
S4.1,1,0.2
S4.2,5,1
,,
J8/C5,S5.1,S5.2
S5.1,1,2
S5.2,0.5,1
,,
J9/C1,S1.1,S1.2
S1.1,1,5
S1.2,0.2,1
,,
J9/C2,S2.1,S2.2
S2.1,1,0.111
S2.2,9,1
,,
J9/C3,S3.1,S3.2
S3.1,1,0.5
S3.2,2,1
,,
J9/C4,S4.1,S4.2
S4.1,1,0.25
S4.2,4,1
,,
J9/C5,S5.1,S5.2
S5.1,1,9
S5.2,0.111,1
,,
J10/C1,S1.1,S1.2
S1.1,1,5
S1.2,0.2,1
,,
J10/C2,S2.1,S2.2
S2.1,1,0.333
S2.2,3,1
,,
J10/C3,S3.1,S3.2
S3.1,1,0.333
S3.2,3,1
,,
J10/C4,S4.1,S4.2
S4.1,1,5
S4.2,0.2,1
,,
J10/C5,S5.1,S5.2
S5.1,1,3
S5.2,0.3333333333,1
