Model,Group,Understandability Q1,Understandability Median,Understandability Q3,Completeness Q1,Completeness Median,Completeness Q3,Usefulness Q1,Usefulness Median,Usefulness Q3,Trustworthiness Q1,Trustworthiness Median,Trustworthiness Q3
codellama:7b,Procedural Knowledge,0.25,0.5,0.5,0.351,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5
codellama:7b,Academic Knowledge,0.064,0.25,0.5,0,0.149,0.25,0,0.121,0.25,0,0.184,0.25
codellama:7b,Quantitative Reasoning,0.14,0.218,0.25,0,0,0.25,0,0.186,0.379,0,0.25,0.25
codellama:7b,Qualitative Reasoning,0.032,0.064,0.25,0,0,0.125,0,0,0.125,0,0,0
codellama:7b,Problem Solving Ability,0.093,0.186,0.593,0.199,0.25,0.426,0.125,0.25,0.25,0.25,0.25,0.342
llama3.1:8b,Procedural Knowledge,0.686,0.75,0.814,0.601,0.75,0.75,0.507,0.629,0.879,0.25,0.684,0.75
llama3.1:8b,Academic Knowledge,0.686,0.814,1,0.351,0.649,0.75,0.629,0.629,0.75,0.434,0.5,0.75
llama3.1:8b,Quantitative Reasoning,0.53,0.843,1,0,0.375,0.75,0.25,0.314,0.75,0,0.342,0.546
llama3.1:8b,Qualitative Reasoning,0.75,0.75,0.875,0.426,0.5,0.625,0.25,0.5,0.625,0.349,0.382,0.566
llama3.1:8b,Problem Solving Ability,0.468,0.686,0.75,0.074,0.149,0.199,0.129,0.129,0.379,0.25,0.25,0.342
mistral-nemo:12b,Procedural Knowledge,0.186,0.436,0.564,0.149,0.25,0.351,0,0.25,0.379,0.184,0.25,0.25
mistral-nemo:12b,Academic Knowledge,0.75,0.936,1,0.25,0.75,1,0.75,0.75,1,0.5,0.75,0.816
mistral-nemo:12b,Quantitative Reasoning,0.25,0.25,0.562,0,0.25,0.275,0,0.186,0.375,0,0.158,0.45
mistral-nemo:12b,Qualitative Reasoning,0.811,1,1,0.801,1,1,0.564,0.75,0.875,0.875,1,1
mistral-nemo:12b,Problem Solving Ability,0.343,0.5,0.75,0.25,0.25,0.375,0.186,0.25,0.375,0.125,0.25,0.375
mistral:7b,Procedural Knowledge,0.25,0.75,1,0.25,0.25,0.649,0.25,0.493,0.75,0.25,0.25,0.75
mistral:7b,Academic Knowledge,0.186,0.5,0.75,0,0.25,0.25,0,0.25,0.5,0,0.25,0.25
mistral:7b,Quantitative Reasoning,0.188,0.75,1,0.188,0.324,0.674,0.25,0.436,0.75,0.233,0.25,0.767
mistral:7b,Qualitative Reasoning,0.157,0.25,0.532,0.324,0.649,0.824,0.25,0.5,0.75,0.316,0.382,0.599
mistral:7b,Problem Solving Ability,0.843,0.936,0.968,0.449,0.649,0.699,0.25,0.25,0.439,0.625,0.75,0.75
mixtral:8x7b,Procedural Knowledge,0.5,0.75,0.75,0.351,0.5,0.75,0.379,0.5,0.75,0.25,0.5,0.816
